	concept
0	Exhausted_Tcell
1	Cytotoxic_Tcell
2	Macrophage
3	CD4_Tcell
4	NKcell
5	IFNg_pathway
6	Genome_integrity
7	TGFb_pathway
8	Monocyte
9	Memory_Tcell
10	Immune_checkpoint
11	Memory_Bcell
12	Pericyte
13	pDC
14	Cell_proliferation
15	Mesothelial
16	Platelet
17	Plasma_cell
18	Tcell_general
19	Naive_Bcell
20	CD8_Tcell
21	Bcell_general
22	Endothelial
23	Innate_lymphoid_cell
24	Epithelial
25	Erythrocyte
26	Treg
27	Cytokine
28	Mast
29	Myeloid
30	Pancreatic
31	Pneumocyte
32	Naive_Tcell
33	Stroma
34	TLS
35	cDC
36	Fibroblast
37	Stem
38	Reference
39	CANCER
40	Granulocyte
41	Apoptosis_pathway
42	Hepatocyte
43	Adipocyte
